Show,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25
Me Honar Superstar Aawaj Konacha Maharashtracha,,,,,,,,,,,,,,,,,,,,2.5,2.2,2.3,1.2,1.3,1.2
Me Honar Superstar Chote Ustad,0.9,0.8,0.8,0.8,0.8,0.9,0.9,1.0,1.0,1.0,1.1,1.0,,3.6,3.4,3.6,,2.8,,,,,,,
Mulgi Zali Ho,,,,,,,,,,,,,,,,,,1.0,1.0,0.9,0.9,0.9,0.5,0.5,0.4
Mulgi Zali Ho - I,5.6,5.8,6.4,5.8,5.0,5.8,5.8,5.4,5.4,4.7,4.6,4.5,5.4,3.9,3.6,3.8,5.2,,,,,,,,
Muramba,,,,,,,0.8,0.9,0.8,0.8,0.8,,0.7,2.1,2.1,2.0,,1.7,1.8,1.8,1.9,2.0,0.7,,0.9
Nandini,,,,,,,,,,,,,,,,,,,,,,0.46,,,
Nandini - I,,,,,,,,,,,,,,,,,,,,,0.09,,,,
Nave Lakshya,0.6,0.6,0.4,0.6,0.6,0.6,0.7,0.6,0.7,,,,,2.7,2.4,2.8,,2.0,2.1,1.7,1.9,1.9,0.7,,0.7
Pandu,,,,,3.2,,,,,,,,,,,,,,,,,,,,
Pawankhind,,,,,,,,,,,,,,,,,,,,,,,,,3.6
Phulala Sugandh Maticha,5.2,4.6,5.6,4.9,5.8,5.1,5.0,5.6,5.6,5.7,5.9,5.7,6.5,6.3,6.1,6.2,6.4,6.1,6.1,6.0,6.3,6.6,6.5,6.1,6.1
Pinkycha Vijay Aso,,,,,1.0,1.0,0.9,0.8,1.2,,0.9,,1.0,2.1,2.1,2.2,1.2,2.1,2.2,2.2,2.3,2.5,1.4,1.5,1.5
Pravah Utsav,,,,2.2,,,,,,,,,,,,,,,,,,,,,
Raja Ranichi Ga Jodi,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,1.0
Raja Ranichi Ga Jodi - I,0.8,,0.7,0.6,0.9,0.9,0.7,0.7,,,,,0.7,1.3,1.4,1.4,,1.2,1.2,1.2,1.3,,,,
Rang Majha Vegla,6.9,7.1,7.2,7.1,6.9,6.8,6.7,7.1,6.9,7.0,6.8,6.7,6.9,6.8,6.6,6.8,6.8,6.9,6.7,6.4,6.6,6.7,6.8,6.7,6.6
Ratris Khel Chale S3,0.6,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,,0.5,,,0.9,,,,,,,,,,,
Sahakutumba Sahaparivar,3.2,3.4,3.6,3.7,4.2,3.7,4.0,4.1,3.9,3.9,3.8,2.6,4.0,5.9,3.6,3.6,4.1,3.7,3.8,3.7,4.0,4.4,4.1,4.0,4.0
Sakal Sanman 2022,,,,,,,,,,,,,,,,,,3.8,,,,,,,
Sant Gajanana Shegaviche,,,,,,,,,,,,,,,,,,,,,0.47,0.52,,,
Satyavan Savitri,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.2
Sonyachi Pavala,0.3,,0.2,0.2,0.3,0.4,0.3,0.2,,,,,,,,,,,,,,,,,
Star Pravah Dhoomdhadaka 2022,6.7,,3.1,,,,,,,,,,,,,,,,,,,,,,
Star Pravah Parivar Puraskar 2022,,,,,,,,,,,,,,7.4,,,,,,,,,,,
