Show,Channel,Platform,Time,Week 1 TV TRP TRP,Week 1 TV TRP Rank,Week 1 Online TRP Rank,Week 1 Online TRP Rank,Week 2 TV TRP TRP,Week 2 TV TRP Rank,Week 2 Online TRP Rank,Week 2 Online TRP Rank,Week 3 TV TRP TRP,Week 3 TV TRP Rank,Week 3 Online TRP Rank,Week 3 Online TRP Rank,Week 4 TV TRP TRP,Week 4 TV TRP Rank,Week 4 Online TRP Rank,Week 4 Online TRP Rank,Week 5 TV TRP TRP,Week 5 TV TRP Rank,Week 5 Online TRP Rank,Week 5 Online TRP Rank,Week 6 TV TRP TRP,Week 6 TV TRP Rank,Week 6 Online TRP Rank,Week 6 Online TRP Rank,Week 7 TV TRP TRP,Week 7 TV TRP Rank,Week 7 Online TRP Rank,Week 7 Online TRP Rank,Week 8 TV TRP TRP,Week 8 TV TRP Rank,Week 8 Online TRP Rank,Week 8 Online TRP Rank,Week 9 TV TRP TRP,Week 9 TV TRP Rank,Week 9 Online TRP Rank,Week 9 Online TRP Rank,Type
Majhi Tujhi Reshimgath,Zee Marathi,Zee5,['20:30'],5.1,7.0,5.0,5.0,4.6,5.0,5.0,5.0,5.4,6.0,5.0,5.0,4.5,7.0,2.0,2.0,4.6,6.0,4.0,4.0,4.1,7.0,4.0,4.0,4.6,5.0,4.0,4.0,4.8,7.0,4.0,4.0,4.6,7.0,5.0,5.0,Fiction
Man Jhala Bajind,Zee Marathi,Zee5,['19:00'],2.1,15.0,,,1.4,14.0,,,1.2,16.0,,,1.6,16.0,,,1.3,17.0,,,1.3,17.0,,,1.2,16.0,,,1.6,16.0,,,1.3,18.0,19.0,19.0,Fiction
Man Udu Udu Jhala,Zee Marathi,Zee5,['19:30'],3.1,12.0,8.0,8.0,2.0,11.0,9.0,9.0,2.9,11.0,6.0,6.0,3.3,10.0,6.0,6.0,3.6,9.0,6.0,6.0,3.1,10.0,6.0,6.0,3.1,9.0,6.0,6.0,3.7,10.0,6.0,6.0,3.4,10.0,7.0,7.0,Fiction
Masta Majedar Kitchen Kallakar,Zee Marathi,Zee5,"['22:00', '21:30']",2.5,14.0,,,1.5,13.0,,,1.5,14.0,,,2.0,14.0,,,1.9,14.0,,,2.1,14.0,,,1.7,13.0,13.0,13.0,2.4,14.0,,,2.3,14.0,15.0,15.0,Non-Fiction
Me Honar Superstar Chote Ustad,Star Pravah,Hotstar,"['21:30', '21:00']",0.9,21.0,,,0.8,17.0,,,0.8,19.0,,,0.8,20.0,,,0.8,21.0,,,0.9,21.0,,,0.9,18.0,20.0,20.0,1.0,19.0,,,1.0,21.0,,,Non-Fiction
Mulgi Zali Ho,Star Pravah,Hotstar,['21:00'],5.6,5.0,,,5.8,4.0,,,6.4,3.0,9.0,9.0,5.8,4.0,,,5.0,4.0,,,5.8,4.0,10.0,10.0,5.8,3.0,11.0,11.0,5.4,5.0,,,5.4,5.0,12.0,12.0,Fiction
Muramba,Star Pravah,Hotstar,['13:30'],,,,,,,,,,,,,,,,,,,,,,,,,0.8,19.0,12.0,12.0,0.9,20.0,,,0.8,22.0,13.0,13.0,Fiction
Nave Lakshya,Star Pravah,Hotstar,"['22:00', '22:30']",0.6,24.0,,,0.6,19.0,,,0.4,23.0,,,0.6,22.0,,,0.6,23.0,,,0.6,24.0,,,0.7,20.0,,,0.6,23.0,,,0.7,23.0,,,Fiction
Pandu,Zee Marathi,Zee5,[],,,,,,,,,,,,,,,,,3.2,10.0,,,,,,,,,,,,,,,,,,,Movie
Phulala Sugandh Maticha,Star Pravah,Hotstar,['20:30'],5.2,6.0,9.0,9.0,4.6,5.0,6.0,6.0,5.6,5.0,8.0,8.0,4.9,5.0,8.0,8.0,5.8,3.0,8.0,8.0,5.1,5.0,8.0,8.0,5.0,4.0,8.0,8.0,5.6,4.0,7.0,7.0,5.6,4.0,6.0,6.0,Fiction
