Show,Channel,Type,Platform,Time
Tu Tevha Tashi,Zee Marathi,Fiction,Zee5,['20:00']
Tujhech Mi Geet Gaat Ahe,Star Pravah,Fiction,Hotstar,['21:00']
Tujhya Ishkacha Naadkhula,Star Pravah,Fiction,Hotstar,['23:30']
Tujhya Ishkacha Naadkhula - I,Star Pravah,Fiction,Hotstar,['23:00']
Tujhya Majhya Sansarala Ani Kai Hava,Zee Marathi,Fiction,Zee5,['21:00']
Tujhya Rupacha Chandana,Colors Marathi,Fiction,Voot,['18:30']
Tujhya Rupacha Chandana - I,Colors Marathi,Fiction,Voot,['21:30']
Tumchi Mulgi Kay Karte,Sony Marathi,Fiction,SonyLiv,['22:00']
Yeu Kashi Tashi Me Nandayla,Zee Marathi,Fiction,Zee5,['20:00']
Yogyogeshwar Jai Shankar,Colors Marathi,Fiction,Voot,['19:00']
Zee Maha Gaurav 2022,Zee Marathi,Event,Zee5,[]
Zee Marathi Jallosh 2022,Zee Marathi,Event,Zee5,[]
Zombivali,Zee Yuva,Movie,,[]
